obilniny obsahujúce lepok;pšenica, raž, jačmeň, ovos, špalda, kamut alebo ich hybridné odrody a výrobky z nich
kôrovce;a výrobky z nich
vajcia;a výrobky z nich
ryby;a výrobky z nich
podzemnica olejná (arašidy);a výrobky z nej
sójové bôby (sója);a výrobky z nich
mlieko;a výrobky z neho
škrupinové plody;mandle, lieskové orechy, vlašské orechy, kešu orechy, pekanové orechy, para orechy, pistácie, makadamiové orechy a výrobky z nich
zeler;a výrobky z neho
horčica;a výrobky z nej
sezamové semená (sezam);a výrobky z nich
oxid siričitý a siričitany;v koncentráciách vyšších ako 10 mg, ml/kg, l vyjadrené SO2
vlčí bôb (lupina);a výrobky z neho
mäkkýše;a výrobky z nich
